Year,Hospitals,Beds,Inpatient cases,Avg length of stay (days),Bed occupancy %
1991,2411.0,665565.0,14576612.5,14.008983843125415,84.05816461016899
1992,2381.0,646995.0,14974845.0,13.273530711002351,83.93957867513355
1993,2354.0,628658.0,15191173.5,12.55601122586086,83.12577516176337
1994,2337.0,618176.0,15497701.5,12.00497157594628,82.4562202970613
1995,2325.0,609123.0,15931168.0,11.463488238903764,82.14224047557796
1996,2269.0,593743.0,16165018.5,10.841102965641518,80.6436335185002
1997,2258.0,580425.0,16429030.999999998,10.459356123924778,81.11065804992916
1998,2263.0,571629.0,16847477.0,10.197463275955206,82.34171426016161
1999,2252.0,565268.0,17092707.0,9.92796623729641,82.24772131361911
2000,2242.0,559651.0,17262928.5,9.719626713393383,81.91542488720991
2001,2240.0,552680.0,17325082.5,9.43928988505538,81.06773173012003
2002,2221.0,547284.0,17432272.0,9.174752493536127,80.06500494146286
2003,2197.0,541901.0,17295909.5,8.87594925262531,77.61495281969438
2004,2166.0,531333.0,16801648.5,8.734009761006487,75.4601549156617
2005,2139.0,523824.0,16539398.0,8.660787895665852,74.92018546854806
2006,2104.0,510767.0,16832883.0,8.450782138745929,76.30266659668507
2007,2087.0,506954.0,17178572.5,8.318096046688396,77.22351832089167
2008,2083.0,503360.0,17519578.5,8.135748699661924,77.36800395332438
2009,2084.0,503341.0,17817180.0,7.993077075047791,77.51714985671224
2010,2064.0,502749.0,18032903.0,7.87125982987875,77.35097911136626
2011,2045.0,502029.0,18344155.5,7.723246894630827,77.31717403106958
2012,2017.0,501475.0,18620442.0,7.62731674146081,77.38047568416341
2013,1996.0,500671.0,18787167.5,7.523219878675165,77.34277695223422
2014,1980.0,500680.0,19148625.5,7.391353024267982,77.4476853944389
2015,1956.0,499351.0,19239574.0,7.343257600194266,77.51494206603459
2016,1951.0,498718.0,19532778.5,7.278511042348635,77.8879801910459
2017,1942.0,497182.0,19442809.5,7.259848994560174,77.78186406532423
2018,1925.0,498192.0,19392466.0,7.23088224055672,77.11426325813319
2019,1914.0,494326.0,19415555.0,7.17299217045302,77.18694429315379
2020,1903.0,487783.0,16793962.0,7.157445932055818,67.32920653185285
2021,1887.0,483606.0,16742343.5,7.19,68.22
2022,1893.0,480382.0,16802692.5,7.2,69.03
2023,1874.0,476924.0,17202130.5,7.2,71.17
