State code,State,Population,Beds,ICU beds,Bed utilisation %,Beds per 100k,ICU beds per 100k,Staff FTE (total),Physician FTE,Nursing FTE,Nursing FTE per bed,Beds per nursing FTE
TH,Thuringia,2126846,15076.0,659.0,67.54398717729713,708.8,31.0,27988.8,,11913.6,0.79,1.27
HH,Hamburg,1892122,12846.0,818.0,73.3178922493863,678.9,43.2,28961.1,,11767.0,0.916,1.09
SL,Saarland,992666,6645.0,513.0,69.81333168413784,669.4,51.7,13994.7,,5825.1,0.877,1.14
ST,Saxony-Anhalt,2186643,13929.0,723.0,68.80612735624995,637.0,33.1,26184.2,,10487.7,0.753,1.33
MV,Mecklenburg-Vorpommern,1628378,10194.0,636.0,68.53486203272944,626.0,39.1,20766.0,,8793.29,0.863,1.16
NW,North Rhine-Westphalia,18139116,112610.0,6343.0,71.22173387847256,620.8,35.0,228978.8,,90553.3,0.804,1.24
SN,Saxony,4086152,24718.0,1541.0,69.81420006716861,604.9,37.7,47838.8,,20878.59,0.845,1.18
HB,Bremen,684864,4131.0,207.0,77.70442660405952,603.2,30.2,9035.2,,3877.5,0.939,1.07
BB,Brandenburg,2573135,14970.0,687.0,70.15795975512668,581.8,26.7,24393.6,,11426.6,0.763,1.31
RP,Rhineland-Palatinate,4159150,23288.0,1295.0,67.35231973195673,559.9,31.1,45140.0,,17831.59,0.766,1.31
BY,Bavaria,13369393,74565.0,3685.0,71.16328587083623,557.7,27.6,161577.29,,61859.0,0.83,1.21
HE,Hesse,6391360,34837.0,1868.0,70.94545596104913,545.1,29.2,66099.0,,28698.7,0.824,1.21
BE,Berlin,3755251,20172.0,1444.0,76.59763024292455,537.2,38.5,48439.6,,18262.3,0.905,1.1
SH,Schleswig-Holstein,2953270,15562.0,803.0,73.79199067626973,526.9,27.2,31225.0,,12288.7,0.79,1.27
NI,Lower Saxony,8140242,40585.0,2153.0,72.47403977108758,498.6,26.4,82578.3,,32808.3,0.808,1.24
BW,Baden-Wuerttemberg,11280257,52796.0,2783.0,71.29321752270565,468.0,24.7,124096.9,,44234.5,0.838,1.19
